ts,mag_0,mag_1,mag_2,extmag_0,extmag_1,extmag_2,gyro_0,gyro_1,gyro_2,gyro_temp,extgyro_0,extgyro_1,extgyro_2,fss_raw_0,fss_raw_1,fss_raw_2,fss_raw_3,fss_raw_4,fss_raw_5,fss_raw_6,fss_raw_7,fss_raw_8,fss_raw_9,fss_raw_10,fss_raw_11,fss_raw_12,fss_raw_13,fss_raw_14,fss_raw_15,fss_raw_16,fss_raw_17,fss_raw_18,fss_raw_19,fss_raw_20,fss_raw_21,fss_raw_22,fss_raw_23,st_raw_0,st_raw_1,st_raw_2,st_raw_3,st_valid_0,st_valid_1,st_valid_2,st_valid_3,status_str,ephem_suneci_0,ephem_suneci_1,ephem_suneci_2,ephem_mageci_0,ephem_mageci_1,ephem_mageci_2
1642723870,69.52750396728516,506.2965087890625,-133.8028564453125,77.42655944824219,509.0480651855469,-75.68817138671875,0.06219005584716797,0.04997563362121582,0.18110227584838867,14.92117691040039,0.0,0.0,0.0,379,114,146,409,2267,2385,5279,5083,417,190,289,563,5196,1362,1309,4543,798,870,976,904,40,249,310,56,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75705630720.0,-115920175104.0,-50250653696.0,-5364.44775390625,-32494.2734375,-38918.94921875
1642723880,94.59957122802734,505.2177429199219,-158.57810974121094,99.22388458251953,501.9176330566406,-92.41572570800781,0.0696876049041748,0.05660700798034668,0.2087189108133316,14.935882568359375,0.0,0.0,0.0,349,97,139,423,2381,2564,5349,5051,438,193,306,569,5178,1219,1168,4392,801,903,980,916,35,227,309,54,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75705630720.0,-115920175104.0,-50250653696.0,-5495.341796875,-31743.634765625,-39570.49609375
1642723890,118.49246215820312,498.17095947265625,-171.54718017578125,119.9197769165039,493.3871154785156,-107.4145278930664,0.09804129600524902,0.00819861888885498,0.17458002269268036,14.956470489501953,0.0,0.0,0.0,319,84,132,422,2482,2727,5408,5019,467,203,319,587,5151,1087,1038,4223,798,937,1005,938,29,207,307,50,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75706834944.0,-115919511552.0,-50250366976.0,-5624.89208984375,-30974.462890625,-40199.63671875
1642723900,139.53941345214844,489.70465087890625,-192.39743041992188,140.1386260986328,483.1521911621094,-122.90650177001953,0.0984189510345459,0.049265384674072266,0.22274340689182281,14.965293884277344,0.0,0.0,0.0,279,69,124,414,2587,2905,5466,4975,506,213,340,629,5111,890,896,4018,787,972,1056,962,25,182,299,46,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75706834944.0,-115919511552.0,-50250366976.0,-5740.23388671875,-30266.958984375,-40746.15625
1642723910,153.9875030517578,477.1266784667969,-210.27978515625,160.73995971679688,470.6061096191406,-139.8388214111328,0.05834305286407471,0.04883921146392822,0.22987094521522522,14.991765022277832,0.0,0.0,0.0,242,58,114,393,2677,3065,5512,4924,545,229,367,680,5019,716,821,3756,765,992,1107,974,22,163,289,41,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75706834944.0,-115919511552.0,-50250366976.0,-5866.8740234375,-29464.41796875,-41330.953125
1642723920,171.8253173828125,451.56719970703125,-228.50389099121094,181.09539794921875,456.3617858886719,-155.86000061035156,0.07907342910766602,0.0556599497795105,0.20242726802825928,14.994706153869629,0.0,0.0,0.0,205,48,105,361,2771,3242,5548,4863,582,249,402,743,4668,739,846,3318,731,997,1158,975,15,143,277,38,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75706834944.0,-115919511552.0,-50250366976.0,-5979.404296875,-28727.935546875,-41836.57421875
1642723930,192.2191162109375,435.7006530761719,-245.2998504638672,201.3053741455078,439.8003845214844,-172.65020751953125,0.12840914726257324,0.013977646827697754,0.2164517343044281,15.024117469787598,0.0,0.0,0.0,171,40,93,327,2860,3417,5580,4791,617,270,447,812,4094,740,851,2759,689,985,1197,963,13,125,266,35,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75706834944.0,-115919511552.0,-50250366976.0,-6102.6787109375,-27894.517578125,-42374.86328125
1642723940,211.67709350585938,427.18218994140625,-263.8678283691406,220.8657684326172,421.3780822753906,-189.79617309570312,0.11605751514434814,0.013456761837005615,0.2167688012123108,15.041764259338379,0.0,0.0,0.0,142,32,84,292,2943,3591,5604,4712,641,298,497,870,3457,774,891,2205,643,951,1213,938,11,109,255,32,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75708039168.0,-115918848000.0,-50250080256.0,-6224.0,-27045.89453125,-42887.8984375
1642723950,234.73443603515625,401.50665283203125,-277.9864807128906,239.10903930664062,402.4803466796875,-204.17041015625,0.10931527614593506,-0.0003268718719482422,0.24427014589309692,15.059412002563477,0.0,0.0,0.0,116,27,71,260,3016,3762,5619,4628,648,330,557,906,2805,806,945,1713,598,901,1208,903,9,87,239,30,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75708039168.0,-115918848000.0,-50250080256.0,-6343.2255859375,-26182.90625,-43375.0625
1642723960,253.64564514160156,383.0943298339844,-290.0948486328125,257.38104248046875,380.9587097167969,-219.5808563232422,0.10383188724517822,0.03349292278289795,0.2308509349822998,15.091764450073242,0.0,0.0,0.0,92,18,63,230,3088,3930,5625,4540,648,353,605,935,2056,821,987,1279,559,845,1175,872,8,72,224,29,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75708039168.0,-115918848000.0,-50250080256.0,-6460.23828125,-25306.33203125,-43835.98046875
1642723970,262.9399719238281,353.5851745605469,-311.6741943359375,273.9999084472656,357.100341796875,-234.90931701660156,0.07635927200317383,0.00602036714553833,0.27205973863601685,15.100587844848633,0.0,0.0,0.0,72,15,54,202,3148,4098,5621,4449,647,378,660,960,1158,835,1019,903,523,794,1126,841,7,53,198,30,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75708039168.0,-115918848000.0,-50250080256.0,-6574.8916015625,-24417.005859375,-44270.08984375
1642723980,279.48602294921875,326.1749572753906,-320.53631591796875,289.0036315917969,333.37872314453125,-247.7069854736328,0.10483896732330322,-0.0080946683883667,0.2516859471797943,15.115294456481934,0.0,0.0,0.0,58,10,45,177,3203,4258,5609,4356,640,395,708,959,528,844,1034,750,491,755,1086,820,6,33,148,22,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75708039168.0,-115918848000.0,-50250080256.0,-6687.06591796875,-23515.8359375,-44677.015625
1642723990,288.9825744628906,311.1221008300781,-336.2073669433594,302.0670166015625,308.086669921875,-260.7926025390625,0.11945641040802002,-0.0015580058097839355,0.251887708902359,15.124117851257324,0.0,0.0,0.0,42,9,40,153,3244,4400,5593,4270,631,412,745,955,548,854,1047,792,467,720,1072,806,308,45,169,599,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75709300736.0,-115918151680.0,-50249777152.0,-6785.79345703125,-22695.369140625,-45019.62890625
1642724000,306.0212707519531,274.20086669921875,-354.1914978027344,313.25762939453125,281.69110107421875,-272.62384033203125,0.1057201623916626,-0.0015580058097839355,0.28622835874557495,15.135882377624512,0.0,0.0,0.0,33,9,36,134,3282,4550,5564,4166,623,420,782,958,583,872,1069,842,435,687,1072,791,667,45,149,1080,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75709300736.0,-115918151680.0,-50249777152.0,-6892.90576171875,-21774.142578125,-45373.8046875
1642724010,314.4158630371094,249.89402770996094,-356.41387939453125,325.2812805175781,253.9229278564453,-282.6982421875,0.1072307825088501,0.011609971523284912,0.21102479100227356,15.17117691040039,0.0,0.0,0.0,23,4,31,118,3311,4681,5535,4072,619,439,813,976,616,890,1094,890,406,663,1081,775,1038,40,132,1461,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75709300736.0,-115918151680.0,-50249777152.0,-6997.166015625,-20843.705078125,-45699.71484375
1642724020,321.7913513183594,212.73809814453125,-363.8335876464844,335.7601623535156,223.04969787597656,-292.0539245605469,0.09374630451202393,0.06646031141281128,0.2522912323474884,15.177059173583984,0.0,0.0,0.0,14,5,28,100,3339,4833,5492,3959,620,453,854,1025,662,925,1143,954,369,637,1095,738,1526,40,114,1851,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75709300736.0,-115918151680.0,-50249777152.0,-7098.447265625,-19905.07421875,-45997.07421875
1642724030,329.7364807128906,187.89183044433594,-376.9888916015625,344.23223876953125,193.5391082763672,-300.0150451660156,0.09475326538085938,0.01800459623336792,0.2593899369239807,15.20058822631836,0.0,0.0,0.0,11,3,26,87,3360,4954,5449,3873,627,468,895,1070,704,946,1195,1016,331,608,1103,697,1950,41,99,2133,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75710504960.0,-115917488128.0,-50249490432.0,-7196.65576171875,-18959.189453125,-46265.69921875
